objname,count,gaze_coordx,gaze_coordy,gaze_coordz,minboundx,minboundy,minboundz,maxboundx,maxboundy,maxboundz,timestamp
1PN2e_A5LD5PkXFWjX4xZA,2,(-3.2, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
0Tvs4M7R97jQCgozPunvhD,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2RMpgrzej4Lg$r4DshTPL4,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
1XtC_MuVf1wBP2klLVvfat,1,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
09YPv4$b1CdgqALY37tPwx,3,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
1PN2e_A5LD5PkXFWjX4xZA,2,(-3.5, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
0Tvs4M7R97jQCgozPunvhD,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
2RMpgrzej4Lg$r4DshTPL4,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
1XtC_MuVf1wBP2klLVvfat,1,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
09YPv4$b1CdgqALY37tPwx,3,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
1PN2e_A5LD5PkXFWjX4xZA,3,(-3.5, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:51 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
0Tvs4M7R97jQCgozPunvhD,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
2RMpgrzej4Lg$r4DshTPL4,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
1XtC_MuVf1wBP2klLVvfat,1,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
09YPv4$b1CdgqALY37tPwx,4,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
1PN2e_A5LD5PkXFWjX4xZA,3,(-3.6, -1.3, 9.3),(-4.2, -1.9, 8.0),(-3.0, -1.3, 10.0),4/19/2022 11:50:51 PM
3zbXr_lBv5jgOEo802_LGZ,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
1eu4XPbTzBchVWRGaY34Ai,5,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
0PfeWE7Aj7GBHCsLa672r6,6,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
2lWrGK6Aj43QEHo8Gwf54I,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
2BV8ty4rH4pOWhxXNZufdA,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
3mbCds5Oz1HAYLWvM_Nrve,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
3mbCds5Oz1HAYLWvM_NruE,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
0Tvs4M7R97jQCgozPunvhD,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
2lrUU8Tqz92AICLQu1TLwU,1,(-3.6, -1.3, 9.3),(-4.0, -1.9, 7.9),(-2.9, -1.3, 9.9),4/19/2022 11:50:52 PM
